Production Order ID;Machine ID;Material;Machine Status;Temperature;Timestamp
11038;1;Super-X Buggy Champ;OK;26.6;2013-01-01 09:00:00 UTC
11037;2;Super-X Buggy Champ;OK;36.0;2013-01-01 09:00:00 UTC
11036;3;Super-X Buggy Champ;OK;36.7;2013-01-01 09:00:00 UTC
11035;4;Super-X Buggy Champ;OK;49.0;2013-01-01 09:00:00 UTC
11034;5;Super-X Buggy Champ;OK;43.8;2013-01-01 09:00:00 UTC
11033;6;Super-X Buggy Champ;OK;44.7;2013-01-01 09:00:00 UTC
11032;7;Super-X Buggy Champ;OK;64.3;2013-01-01 09:00:00 UTC
11031;8;Super-X Buggy Champ;OK;34.1;2013-01-01 09:00:00 UTC
11030;9;Super-X Buggy Champ;OK;12.4;2013-01-01 09:00:00 UTC
11029;10;Super-X Buggy Champ;OK;22.3;2013-01-01 09:00:00 UTC
11028;11;Super-X Buggy Champ;OK;24.5;2013-01-01 09:00:00 UTC
11027;12;Super-X Buggy Champ;OK;48.5;2013-01-01 09:00:00 UTC
11026;13;Super-X Buggy Champ;OK;44.1;2013-01-01 09:00:00 UTC
11025;14;Super-X Buggy Champ;OK;45.3;2013-01-01 09:00:00 UTC
11024;15;Offroad Autobody;OK;18.8;2013-01-01 09:00:00 UTC
11023;16;Offroad Autobody;OK;22.8;2013-01-01 09:00:00 UTC
11022;17;Offroad Autobody;OK;53.3;2013-01-01 09:00:00 UTC
11021;18;Offroad Autobody;OK;42.8;2013-01-01 09:00:00 UTC
11020;19;BIPM Experts Autobody;OK;51.3;2013-01-01 09:00:00 UTC
11019;20;BIPM Experts Autobody;OK;51.9;2013-01-01 09:00:00 UTC
11018;21;BIPM Experts Autobody;OK;22.3;2013-01-01 09:00:00 UTC
11017;22;BIPM Experts Autobody;OK;53.3;2013-01-01 09:00:00 UTC
11016;23;BIPM Experts Autobody;OK;7.0;2013-01-01 09:00:00 UTC
11015;24;BIPM Experts Autobody;OK;37.0;2013-01-01 09:00:00 UTC
11014;25;BIPM Experts Autobody;OK;22.4;2013-01-01 09:00:00 UTC
11013;26;Booster Beast Autobody;OK;22.6;2013-01-01 09:00:00 UTC
11012;27;Booster Beast Autobody;OK;37.1;2013-01-01 09:00:00 UTC
11011;28;Booster Beast Autobody;OK;52.3;2013-01-01 09:00:00 UTC
11010;29;Booster Beast Autobody;Problematic;134.0;2013-01-01 09:00:00 UTC
11009;30;Booster Beast Autobody;OK;34.9;2013-01-01 09:00:00 UTC
11008;31;Booster Beast Autobody;OK;47.6;2013-01-01 09:00:00 UTC
11007;32;Booster Beast Autobody;OK;22.8;2013-01-01 09:00:00 UTC
11006;33;Booster Beast Autobody;Problematic;24.6;2013-01-01 09:00:00 UTC
11005;34;Booster Beast Autobody;OK;13.1;2013-01-01 09:00:00 UTC
11004;35;Booster Beast Autobody;OK;20.6;2013-01-01 09:00:00 UTC
11003;36;Booster Beast Autobody;OK;25.6;2013-01-01 09:00:00 UTC
11002;37;Booster Beast Autobody;OK;43.8;2013-01-01 09:00:00 UTC
11001;38;Booster Beast Autobody;Problematic;122.6;2013-01-01 09:00:00 UTC
11000;39;Booster Beast Autobody;OK;20.9;2013-01-01 09:00:00 UTC
10999;40;Booster Beast Autobody;OK;15.4;2013-01-01 09:00:00 UTC
10998;41;Booster Beast Autobody;OK;12.5;2013-01-01 09:00:00 UTC
10997;42;Monster Truck Autobody;OK;11.1;2013-01-01 09:00:00 UTC
10996;43;Monster Truck Autobody;OK;59.4;2013-01-01 09:00:00 UTC
10995;44;Monster Truck Autobody;OK;34.3;2013-01-01 09:00:00 UTC
10994;45;Monster Truck Autobody;OK;60.0;2013-01-01 09:00:00 UTC
10993;46;Monster Truck Autobody;OK;46.8;2013-01-01 09:00:00 UTC
10992;47;Monster Truck Autobody;OK;39.7;2013-01-01 09:00:00 UTC
10991;48;Monster Truck Autobody;OK;31.7;2013-01-01 09:00:00 UTC
10990;49;Monster Truck Autobody;OK;25.8;2013-01-01 09:00:00 UTC
10989;50;Monster Truck Autobody;OK;56.8;2013-01-01 09:00:00 UTC
11088;1;Super-X Booster Beast;OK;7.0;2013-01-02 09:00:00 UTC
11087;2;Super-X Booster Beast;OK;18.3;2013-01-02 09:00:00 UTC
11086;3;Super-X Booster Beast;OK;53.1;2013-01-02 09:00:00 UTC
11085;4;Super-X Booster Beast;OK;9.7;2013-01-02 09:00:00 UTC
11084;5;Super-X Booster Beast;OK;46.3;2013-01-02 09:00:00 UTC
11083;6;Super-X Booster Beast;OK;64.6;2013-01-02 09:00:00 UTC
11082;7;Super-X Booster Beast;OK;49.0;2013-01-02 09:00:00 UTC
11081;8;Super-X Booster Beast;OK;8.4;2013-01-02 09:00:00 UTC
11080;9;Super-X Booster Beast;OK;64.1;2013-01-02 09:00:00 UTC
11079;10;Super-X Booster Beast;OK;17.0;2013-01-02 09:00:00 UTC
11078;11;Super-X Booster Beast;OK;24.1;2013-01-02 09:00:00 UTC
11077;12;Super-X Booster Beast;OK;59.4;2013-01-02 09:00:00 UTC
11076;13;Super-X Booster Beast;OK;22.3;2013-01-02 09:00:00 UTC
11075;14;Super-X Booster Beast;OK;15.8;2013-01-02 09:00:00 UTC
11074;15;Super-X Booster Beast;OK;29.1;2013-01-02 09:00:00 UTC
11073;16;Super-X Booster Beast;OK;52.3;2013-01-02 09:00:00 UTC
11072;17;Super-X Monster Truck;OK;12.9;2013-01-02 09:00:00 UTC
11071;18;Super-X Monster Truck;OK;30.1;2013-01-02 09:00:00 UTC
11070;19;Super-X Monster Truck;OK;28.7;2013-01-02 09:00:00 UTC
11069;20;Super-X Monster Truck;OK;40.1;2013-01-02 09:00:00 UTC
11068;21;Super-X Monster Truck;OK;50.9;2013-01-02 09:00:00 UTC
